NDB_No,FdGrp_cd,Long_Desc,Shrt_Desc,ComName,ManufacName,Survey,Ref_desc,Refuse,SciName,N_Factor,Pro_Factor,Fat_Factor,CHO_Factor
01001,0100,"Butter, salted","BUTTER,WITH SALT",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01002,0100,"Butter, whipped, with salt","BUTTER,WHIPPED,W/ SALT",nan,nan,Y,nan,0,nan,6.38,nan,nan,nan
01003,0100,"Butter oil, anhydrous","BUTTER OIL,ANHYDROUS",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01004,0100,"Cheese, blue","CHEESE,BLUE",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01005,0100,"Cheese, brick","CHEESE,BRICK",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01006,0100,"Cheese, brie","CHEESE,BRIE",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01007,0100,"Cheese, camembert","CHEESE,CAMEMBERT",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01008,0100,"Cheese, caraway","CHEESE,CARAWAY",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01009,0100,"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)","CHEESE,CHEDDAR",nan,nan,Y,nan,0,nan,nan,nan,nan,nan
01010,0100,"Cheese, cheshire","CHEESE,CHESHIRE",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01011,0100,"Cheese, colby","CHEESE,COLBY",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01012,0100,"Cheese, cottage, creamed, large or small curd","CHEESE,COTTAGE,CRMD,LRG OR SML CURD",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01013,0100,"Cheese, cottage, creamed, with fruit","CHEESE,COTTAGE,CRMD,W/FRUIT",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01014,0100,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd","CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01015,0100,"Cheese, cottage, lowfat, 2% milkfat","CHEESE,COTTAGE,LOWFAT,2% MILKFAT",nan,nan,Y,nan,0,nan,6.38,nan,nan,nan
01016,0100,"Cheese, cottage, lowfat, 1% milkfat","CHEESE,COTTAGE,LOWFAT,1% MILKFAT",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01017,0100,"Cheese, cream","CHEESE,CREAM",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01018,0100,"Cheese, edam","CHEESE,EDAM",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01019,0100,"Cheese, feta","CHEESE,FETA",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01020,0100,"Cheese, fontina","CHEESE,FONTINA",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01021,0100,"Cheese, gjetost","CHEESE,GJETOST",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01022,0100,"Cheese, gouda","CHEESE,GOUDA",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01023,0100,"Cheese, gruyere","CHEESE,GRUYERE",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01024,0100,"Cheese, limburger","CHEESE,LIMBURGER",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01025,0100,"Cheese, monterey","CHEESE,MONTEREY",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01026,0100,"Cheese, mozzarella, whole milk","CHEESE,MOZZARELLA,WHL MILK",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01027,0100,"Cheese, mozzarella, whole milk, low moisture","CHEESE,MOZZARELLA,WHL MILK,LO MOIST",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01028,0100,"Cheese, mozzarella, part skim milk","CHEESE,MOZZARELLA,PART SKIM MILK",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01029,0100,"Cheese, mozzarella, low moisture, part-skim","CHEESE,MOZZARELLA,LO MOIST,PART-SKIM",nan,nan,Y,nan,0,nan,6.38,nan,nan,nan
01030,0100,"Cheese, muenster","CHEESE,MUENSTER",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01031,0100,"Cheese, neufchatel","CHEESE,NEUFCHATEL",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01032,0100,"Cheese, parmesan, grated","CHEESE,PARMESAN,GRATED",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01033,0100,"Cheese, parmesan, hard","CHEESE,PARMESAN,HARD",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01034,0100,"Cheese, port de salut","CHEESE,PORT DE SALUT",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01035,0100,"Cheese, provolone","CHEESE,PROVOLONE",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01036,0100,"Cheese, ricotta, whole milk","CHEESE,RICOTTA,WHOLE MILK",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01037,0100,"Cheese, ricotta, part skim milk","CHEESE,RICOTTA,PART SKIM MILK",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01038,0100,"Cheese, romano","CHEESE,ROMANO",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01039,0100,"Cheese, roquefort","CHEESE,ROQUEFORT",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01040,0100,"Cheese, swiss","CHEESE,SWISS",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01041,0100,"Cheese, tilsit","CHEESE,TILSIT",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01042,0100,"Cheese, pasteurized process, American, fortified with vitamin D","CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01043,0100,"Cheese, pasteurized process, pimento","CHEESE,PAST PROCESS,PIMENTO",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01044,0100,"Cheese, pasteurized process, swiss","CHEESE,PAST PROCESS,SWISS",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01045,0100,"Cheese food, cold pack, American","CHEESE FD,COLD PK,AMERICAN",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01046,0100,"Cheese food, pasteurized process, American, vitamin D fortified","CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01047,0100,"Cheese food, pasteurized process, swiss","CHEESE FD,PAST PROCESS,SWISS",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01048,0100,"Cheese spread, pasteurized process, American","CHEESE SPRD,PAST PROCESS,AMERICAN",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01049,0100,"Cream, fluid, half and half","CREAM,FLUID,HALF AND HALF",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01050,0100,"Cream, fluid, light (coffee cream or table cream)","CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01052,0100,"Cream, fluid, light whipping","CREAM,FLUID,LT WHIPPING",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01053,0100,"Cream, fluid, heavy whipping","CREAM,FLUID,HVY WHIPPING",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01054,0100,"Cream, whipped, cream topping, pressurized","CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01055,0100,"Cream, sour, reduced fat, cultured","CREAM,SOUR,RED FAT,CULTURED",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01056,0100,"Cream, sour, cultured","CREAM,SOUR,CULTURED",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01057,0100,Eggnog,EGGNOG,nan,nan,Y,nan,0,nan,6.37,4.27,8.79,3.90
