,NDB_No,Factor_Code
0,02001,A0113
1,02001,A1272
2,02001,B1356
3,02001,C0140
4,02001,E0106
5,02001,F0003
6,02001,G0003
7,02001,H0138
8,02001,J0141
9,02001,J0170
10,02001,K0003
11,02001,M0001
12,02001,N0001
13,02001,P0024
14,02002,A0113
15,02002,A1272
16,02002,B1296
17,02002,C0167
18,02002,E0150
19,02002,F0003
20,02002,G0003
21,02002,H0138
22,02002,J0117
23,02002,K0003
24,02002,M0001
25,02002,N0001
26,02002,P0024
27,02003,A0113
28,02003,A1272
29,02003,B1158
30,02003,C0200
31,02003,E0151
32,02003,F0003
33,02003,G0003
34,02003,H0138
35,02003,J0144
36,02003,K0003
37,02003,M0001
38,02003,N0001
39,02003,P0024
40,02004,A0113
41,02004,A1272
42,02004,B1197
43,02004,C0200
44,02004,E0151
45,02004,F0003
46,02004,G0003
47,02004,H0138
48,02004,J0141
49,02004,K0003
50,02004,M0001
51,02004,N0001
52,02004,P0024
53,02005,A0113
54,02005,A1272
55,02005,B1549
56,02005,C0167
57,02005,E0150
58,02005,F0003
59,02005,G0003
60,02005,H0138
61,02005,J0141
62,02005,K0003
63,02005,M0001
64,02005,N0001
65,02005,P0024
66,02006,A0113
67,02006,A1272
68,02006,B1665
69,02006,C0167
70,02006,E0151
71,02006,F0003
72,02006,G0003
73,02006,H0138
74,02006,J0117
75,02006,K0003
76,02006,M0001
77,02006,N0001
78,02006,P0024
79,02007,A0113
80,02007,A1272
81,02007,B1282
82,02007,C0167
83,02007,E0150
84,02007,F0003
85,02007,G0003
86,02007,H0138
87,02007,J0141
88,02007,K0003
89,02007,M0001
90,02007,N0001
91,02007,P0024
92,02008,A0113
93,02008,A1272
94,02008,B1444
95,02008,C0200
96,02008,E0151
97,02008,F0003
98,02008,G0003
99,02008,H0138
100,02008,J0117
101,02008,K0003
102,02008,M0001
103,02008,N0001
104,02008,P0024
105,02009,A0113
106,02009,A1272
107,02009,B1643
108,02009,C0167
109,02009,E0106
110,02009,F0003
111,02009,G0003
112,02009,H0138
113,02009,H0229
114,02009,J0117
115,02009,K0003
116,02009,M0001
117,02009,N0001
118,02009,P0024
119,02010,A0113
120,02010,A1272
121,02010,B1472
122,02010,C0264
123,02010,E0106
124,02010,F0003
125,02010,G0003
126,02010,H0138
127,02010,J0141
128,02010,K0003
129,02010,M0001
130,02010,N0001
131,02010,P0024
132,02011,A0113
133,02011,A1272
134,02011,B1255
135,02011,C0289
136,02011,E0106
137,02011,F0003
138,02011,G0003
139,02011,H0138
140,02011,J0141
141,02011,K0003
142,02011,M0001
143,02011,N0001
144,02011,P0024
145,02012,A0113
146,02012,A1272
147,02012,B1381
148,02012,C0200
149,02012,E0151
150,02012,F0003
151,02012,G0003
152,02012,H0138
153,02012,J0117
154,02012,K0003
155,02012,M0001
156,02012,N0001
157,02012,P0024
158,02013,A0113
159,02013,A1272
160,02013,B1381
161,02013,C0167
162,02013,E0151
163,02013,F0003
164,02013,G0003
165,02013,H0138
166,02013,J0117
167,02013,K0003
168,02013,M0001
169,02013,N0001
170,02013,P0024
171,02014,A0113
172,02014,A1272
173,02014,B1274
174,02014,C0167
175,02014,E0151
176,02014,F0003
177,02014,G0003
178,02014,H0138
179,02014,J0141
180,02014,K0003
181,02014,M0001
182,02014,N0001
183,02014,P0024
184,02015,A0113
185,02015,A1272
186,02015,B1381
187,02015,C0167
188,02015,E0106
189,02015,F0003
190,02015,G0003
191,02015,H0138
192,02015,H0151
193,02015,J0141
194,02015,K0003
195,02015,M0001
196,02015,N0001
197,02015,P0024
198,02016,A0113
199,02016,A1272
200,02016,B1277
201,02016,C0167
202,02016,E0150
203,02016,F0003
204,02016,G0003
205,02016,H0138
206,02016,J0117
207,02016,K0003
208,02016,M0001
209,02016,N0001
210,02016,P0024
211,02017,A0113
212,02017,A1272
213,02017,B1277
214,02017,C0200
215,02017,E0151
216,02017,F0003
217,02017,G0003
218,02017,H0138
219,02017,J0117
220,02017,K0003
221,02017,M0001
222,02017,N0001
