NDB_No,Seq,Amount,Msre_Desc,Gm_Wgt,Num_Data_Pts,Std_Dev
01001,1,1,"pat (1"" sq, 1/3"" high)",5,nan,nan
01001,2,1,tbsp,14.20,nan,nan
01001,3,1,cup,227,nan,nan
01001,4,1,stick,113,nan,nan
01002,1,1,"pat (1"" sq, 1/3"" high)",3.80,nan,nan
01002,2,1,tbsp,9.40,nan,nan
01002,3,1,cup,151,nan,nan
01002,4,1,stick,76,nan,nan
01003,1,1,tbsp,12.80,nan,nan
01003,2,1,cup,205,nan,nan
01004,1,1,oz,28.35,nan,nan
01004,2,1,cubic inch,17,nan,nan
01004,3,1,"cup, crumbled, not packed",135,nan,nan
01005,1,1,"cup, diced",132,nan,nan
01005,2,1,"cup, shredded",113,nan,nan
01005,3,1,oz,28.35,nan,nan
01005,4,1,cubic inch,17,nan,nan
01005,5,1,slice (1 oz),28,nan,nan
01006,1,1,oz,28.35,nan,nan
01006,2,1,"cup, sliced",144,nan,nan
01006,3,1,"cup, melted",240,nan,nan
01006,4,1,cubic inch,17,nan,nan
01006,5,1,package (4.5 oz),128,nan,nan
01007,1,1,oz,28.35,nan,nan
01007,2,1,cup,246,nan,nan
01007,3,1,cubic inch,17,nan,nan
01007,4,1,wedge (1.33 oz),38,nan,nan
01008,1,1,oz,28.35,nan,nan
01009,1,1,"cup, diced",132,nan,nan
01009,2,1,"cup, melted",244,nan,nan
01009,3,1,"cup, shredded",113,nan,nan
01009,4,1,oz,28.35,nan,nan
01009,5,1,cubic inch,17,nan,nan
01009,6,1,slice (1 oz),28,nan,nan
01010,1,1,oz,28.35,nan,nan
01011,1,1,"cup, diced",132,nan,nan
01011,2,1,"cup, shredded",113,nan,nan
01011,3,1,oz,28.35,nan,nan
01011,4,1,cubic inch,17,nan,nan
01011,5,1,slice (1 oz),28,nan,nan
01012,1,4,oz,113,nan,nan
01012,2,1,"cup, large curd (not packed)",210,nan,nan
01012,3,1,"cup, small curd (not packed)",225,nan,nan
01013,1,4,oz,113,nan,nan
01013,2,1,cup (not packed),226,nan,nan
01014,1,1,cup (not packed),145,nan,nan
01014,2,4,oz,113,nan,nan
01015,1,4,oz,113,nan,nan
